게시판종류,제목,작성일,본문내용,링크,사진
공지사항,[홍보] 2024년도 한미 첨단분야 청년교류 지원사업  제2기 장학생 선발 안내,'2024-08-02,"“
산업통상자원부
”
에서는 미국 첨
단산업 분야의 기술
·
경험 습득 기회를
제공하고
,
글로벌 인재 육성을 위해
美
대학에 교환학생 파견 예정
인
이공계 청년
인재를 다음과 같이 모집합니다
.
2024
년
7
월
29
일
산업통상자원부장관
자세한 사항은 첨부파일 참조",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=2&BID=1816&cmd=view,../../data/images/1852.jpg
공지사항,2024 리빙랩 메이커톤 참가팀 선발 안내,'2024-08-01,"2024 리빙랩 메이커톤 참가팀를 선발합니다.
많은 관심 주셔서 감사합니다.",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=2&BID=1815&cmd=view,../../data/images/1851.png
공지사항,인공지능 코딩 드론 제작 실무 교육 참가자 선발 안내,'2024-08-01,"인공지능 코딩 드론 제작 실무 교육 참가자를 선발합니다.
많은 관심 주셔서 감사합니다.",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=2&BID=1814&cmd=view,../../data/images/1849.jpg
공지사항,창의 융합 메이커(젯슨나노) 참가자 선발 안내,'2024-07-18,아래와 같이 창의 융합 메이커(젯슨나노) 참가자를 선발합니다.,https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=2&BID=1813&cmd=view,../../data/images/1848.jpg
공지사항,자율주행 RC카 제작 실무 교육 참가자 선발 안내,'2024-07-18,"아래와 같이 자율주행 RC카 제작 실무 교육 참가자를 선발합니다.
많은 관심 주셔서 감사합니다.",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=2&BID=1812&cmd=view,../../data/images/1845.png
공지사항,ISFP 교육 참가자 선발 안내,'2024-07-16,,https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=3&BID=1810&cmd=view,../../data/images/1840.png
공지사항,[홍보] 2024 메이킷 프로젝트 참가자 모집,'2024-07-09,"강원대학교 산학협력단에서는 아래와 같이 창의융합메이커캠프 메이킷 프로젝트 참가자를 모집을 합니다.
많은 관심 바랍니다.",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=3&BID=1809&cmd=view,../../data/images/1837.jpg
공지사항,[모집] 2024 리빙랩 메이커톤 참가자 모집,'2024-06-25,"※ 아래와 같이 2024 리빙랩 메이커톤 참가자를 모집
합니다.
2024 리빙랩 메이커톤
온라인 신청 바로가기
▶
강원대학교 공학교육혁신센터 (kangwon.ac.kr)",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=3&BID=1802&cmd=view,../../data/images/1803.jpg;../../data/images/1812.png;../../data/images/1813.png;../../data/images/1814.png;../../data/images/1815.png
공지사항,「K-4INT Maker Camp」 메이커메이커 참가자 선발 안내,'2024-06-17,"아래와 같이 K-4INT Maker Camp - Make a Maker 참가자 선발을 공고합니다.
감사합니다.",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=3&BID=1800&cmd=view,../../data/images/1800.png
공지사항,[홍보] 2024 디스플레이·반도체 취업설명회 행사 안내,'2024-03-25,"<2024
디스플레이
· 반도체 취업설명회
>
일자 : 2024년 4월 2일(화), 13:30~17:00
참석대상 : 디스플레이
·
반도체
관련학과 이공계 학부생 대상 (*선착순 사전 등록)
운영방안 : 유튜브 생중계 (참가자에 한해 유튜브 UR 전송)
주요내용 :
디스플레이
·
반도체
산업
및
주요
직무
소개
/
참가기업
취업설명회
등록하러 가기
참가 등록 링크 :
https://forms.gle/dBdVsoqjPWeem6mj8
EDM 등록 연결 링크 :
https://www.kdia.org/edm/20240325/index.html
EDM 소스 코드 : 첨부파일 참조",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=4&BID=1786&cmd=view,../../data/images/1767.jpg
공지사항,[홍보] 성균관대 반도체산업SC 교육프로그램(반도체 취업준비생 대상 온라인 교육),'2024-01-25,"성균관대학교 공학교육혁신센터에서는 반도체산업
SC
에서 개최하는 교육프로그램을 아래와 같이 홍보합니다
.
관심있는 학생들의 많은 참여 바랍니다
.
-
일 시
: 2024
년
1
월
25
일
(
목
) ~ 2
월
5
일
(
월
)
-
장 소
:
비대면 온라인 교육
-
참가대상
:
반도체 분야 취업을 희망하는 공학계열 학부생 약
1,000
여명
-
주요내용
:
반도체 생산 및  공정 기술 이론 및 회로설계 핵심이론 및 시뮬레이션
-
모집기간
: 2024
년
1
월
25
일
(
목
) ~ 2
월
4
일
(
일
)
-
수료기준
:
진도율
80%
이상 및 시험 점수
60
점 이상
-
신청방법
:
http://semi-mooc.ksia.or.kr
로그인
▶
수강신청
/
안내
▶
희망 과정 선택 후 수강 신청
​
홈페이지 바로가기 링크
https://www.ksia.or.kr/bbs/board.php?bo_table=notice&wr_id=3169",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=4&BID=1784&cmd=view,../../data/images/1761.png;../../data/images/1762.png
공지사항,[공고] 공학교육혁신센터 프로그램 참여 수기 공모전 심사 결과,'2024-01-22,"강원대학교 공학교육혁신센터 참여수기 공모전에 많은 관심 감사드리며,
아래와 같이 심사 결과를 안내합니다.
축하드립니다.",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=4&BID=1782&cmd=view,../../data/images/1758.png
공지사항,동계 디지털 오픈캠퍼스 융합 메이커(초중등 대상) 참가자 선발 안내,'2024-01-17,"아래와 같이 동계 디지털 오픈캠퍼스 융합 메이커 선발자를 공고합니다.
문의사항: 033-250-7168",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=4&BID=1781&cmd=view,../../data/images/1757.jpg
공지사항,[모집] 공학교육혁신센터 프로그램 참여 수기 공모전 안내,'2023-12-28,"아래와 같이 2022~2023년 공학교육혁신센터 프로그램 참여수기 공모전을 개최합니다.
많은 관심 바랍니다.",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=5&BID=1780&cmd=view,../../data/images/1747.jpg;../../data/images/1748.jpg;../../data/images/1749.jpg
공지사항,[모집] 바이오·디지털헬스케어 현장견학 참가자 모집,'2023-12-22,"강원대학교 공학교육혁신센터에서는
바이오·디지털헬스케어 현장견학
을 운영합니다.
관심있는 학생들의 많은 참가 바랍니다.
참가신청:
https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_5&mm=application&oxid=1&cmd=class&subcmd=view&id=174",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=5&BID=1778&cmd=view,../../data/images/1744.bmp
공지사항,창의·융합 G-bridge 교육 참가자 선발 안내,'2023-12-15,"아래와 같이 창의·융합 G-bridge 교육 참가 신청자 중 선발 학생을 공고합니다.
(타대학 참가 학생은 별도 안내)",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=5&BID=1777&cmd=view,../../data/images/1740.jpg
공지사항,[모집] 2023 디지털 헬스케어 세미나,'2023-12-14,"공학교육혁신센터에서는 (재)원주의료기기테크노밸리에서 주관하는 2023 디지털헬스케어 세미나 참가자를 모집합니다.
해당 세미나에 참가를 원하는 학생은
2023.12.18.(월) 오후 5시
까지
센터로
전화(033-250-7169)
또는
이메일(icee@kangwon.ac.kr)
로 연락 바랍니다.
해당 세미나는 원주에서 진행되며 이동 시 차량 및 중식 지원됩니다.",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=5&BID=1775&cmd=view,../../data/images/1736.jpg
공지사항,[모집] 동계 디지털 오픈캠퍼스 융합 메이커(초중등 대상) 참가 모집(기초과정 추가 모집),'2023-12-14,"- 과정: 기초 과정(14:00~16:00)
- 추가 모집 인원: 8명
- 접수 기간: ~2024년 1월 14일(일)까지
-------------------------------------------------------------------------------------------------
아래와 같이 동계 디지털 오픈캠퍼스 융합 메이커 참가자를 모집합니다.
참가자를 위한 재료비, 강사료는 전액 무료로 제공되며,
5일 개근 참여의 경우,
공학교육혁신센터장, LINC 3.0 사업단장 명의의 수료증이 발급됩니다.
교육시간은 과정별 2시간이며, 교육장소 이동 및 귀가는 개별적
으로 하셔야 합니다.
참가 학생들의 안전에 주의 부탁드립니다.
* 참가신청 바로가기▶
https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_5&mm=application&oxid=1&cmd=class&subcmd=view&id=173",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=5&BID=1774&cmd=view,../../data/images/1733.jpg;../../data/images/1734.jpg;../../data/images/1735.jpg
공지사항,[모집] 의료 벡터 아이디어 경진대회 참가자 모집,'2023-11-30,"강원대학교 공학교육혁신센터에서는 LINC 3.0 사업단과 공동으로 의료 벡터 아이디어 경진대회를 개최합니다.
관심있는 학생들의 많은 참가 바랍니다.
-
참가 신청
https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_5&mm=application&oxid=1&cmd=class&subcmd=view&id=172
-
문의
: 033-250-7168~9",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=5&BID=1772&cmd=view,../../data/images/1755.bmp;../../data/images/1756.bmp
공지사항,[창의설계실습실] 이용방법 변경(QR코드 발송 방법 변경),'2023-11-27,"★창의설계실습실 이용방법 변경
기존: 신청 후 오픈채팅방을 통해 QR코드 발송
변경: 신청 후 이메일을 통해 QR코드 발송
오픈채팅방 입장의 번거로움을 해소하고자 2023년 11월 27일(월) 이후 신청자 이메일을 통해 QR코드 전송 방식으로 변경함.
신청서 작성 시 본인
이메일 주소를 반드시 확인
바랍니다.
오픈채팅방은 11월 30일(목)이후 삭제됩니다.
기존 사용자는 미리 QR코드 다운로드 바랍니다.
창의설계실습실 이용과 관련한 기타 문의사항은 033-250-7169로 연락바랍니다.",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=5&BID=1771&cmd=view,../../data/images/1723.png
공지사항,[홍보] AI Playground 기반 데이터인재양성 프로그램 모집 안내,'2023-11-21,"강원지역혁신플랫폼 대학교육혁신본부에서는 미래 산업의 핵심 역량인 데이터 활용 능력 증진과 관련 분야의 주요 직무（프롬프트 엔지니어, 초거대 언어모델 튜닝, 데이터 사이언스）에 대한 전문 인력을 양성하고자 「AI Playground 기반 데이터인재양성 프로그램」을 운영하오니 많은 관심과 참여 바랍니다.
○ 프로그램명: AI Playground 기반 데이터인재양성 프로그램
○ 교육일정: 과정별（대상별） 일정이 상이하므로 세부 계획 참고（2023. 11. 18.（토） ~ 2024. 1. 25.（목））
○ 교육방법: 온라인 및 오프라인 진행
○ 참여대상: 강원특별자치도 내 중·고등학생, 대학（원）생（휴학생 참여 가능）, 재잭자 및 관련 분야 종사자 등
○ 모집기간: 2023. 11. 8.（수） ~ 각 과정의 개강 직전일까지
○ 신청방법: 홈페이지 접속 후 해당 과정의 구글폼에서 신청
（https://everlasting-recorder-477.notion.site/AI-44463216e81f4ed587fa45127378c56e）
○ 교육내용: 산업 현장에서 필요로 하는 AI 관련 주요 직무 분야（프롬프트 엔지니어, 초거대 언어모델 튜닝, 데이터 사이언스）의 전문인력을 양성하기 위한 실무 중심 교육과정
○ 문 의 처: 070-7772-4643, info@maiclass.com / 033-250-6770
（세부일정 및 내용은 붙임파일 참고）",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=5&BID=1770&cmd=view,../../data/images/1720.png;../../data/images/1721.png;../../data/images/1722.png
공지사항,ACE+UP 창의 융합 캠프 참가자 선발 안내,'2023-11-17,아래와 같이 ACE+UP 창의 융합 캠프 참가자 선발을 공고합니다.,https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=5&BID=1769&cmd=view,../../data/images/1717.png
공지사항,[모집] 창의·융합 G-bridge 교육(로봇의수 제작) 참가자 모집,'2023-11-09,"○ 참가 관련 전액 무료
-
교육에 필요한 아두이노 키트, 3D프린팅 장비 및 필라멘트 지원
- 팀 별 시제품 제작 시 필요한 재료 지원
- 교육 수료증 발급
-
참가 신청
https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_5&mm=application&oxid=1&cmd=class&subcmd=view&id=171
-
문의
: 033-250-7168~9",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=6&BID=1765&cmd=view,../../data/images/1706.jpg;../../data/images/1707.jpg
공지사항,"누들브리지 경연대회 관련 창의설계실습실(2호, 3호,4호) 사용 안내",'2023-11-02,"누들브리지 제작 기간 중
창의설계실습실 2호, 3호, 4호실
은 누들브리지 제작 학생들에게 제공됩니다.
누들브리지 제작 목적으로 창의설계실습실을 신청하실 경우 반드시 2호, 3호, 4호실로 신청바랍니다.
누들브리지 제작 학생이 1호실을 신청한 경우 신청 취소됩니다.",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=6&BID=1764&cmd=view,
공지사항,[모집] 2023 ACE+UP 창의 융합 캠프 참가자 모집,'2023-10-30,"○ 참가 관련 전액 무료
-
온라인 교육에 필요한 아두이노 키트, 온라인 강의 무료 제공(사전 녹화된 강의로, 편한 시간 접속 후 수강)
- 오프라인 시제품 제작 시 필요한 재료비 지원
-
오프라인 2
박 3
일 용인 라마다 호텔 차량 이동 및 숙식 무료 제공
○
팀별 시상 내역
구분
팀 수
포상내역
비고
대상
1
팀당
50
만원
상장 및 상금
공학교육혁신센터장
‧
LINC 3.0 사업단장상
최우수상
1
팀당
3
0
만원
우수상
1
팀당
20
만원
장려상
4
팀당
10
만원
7
개팀 총
140
만원
-
참가 신청
https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_5&mm=application&oxid=1&cmd=class&subcmd=view&id=169
-
문의
: 033-250-7168~9",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=6&BID=1762&cmd=view,
공지사항,[모집] 2023 공학페스티벌 온라인 청중단 모집,'2023-10-20,"2023 공학페스티벌 창의적종합설계 경진대회 ""온라인 청중단""을 모집합니다.
1. 모집기간: 2023. 10. 2.(월) ~ 11. 10.(금)
2. 신청인원: 1,000명
3. 참가대상: 공대생 및 공학에 관심있는 일반인
4. 신청방법: http://www.e2festa.kf/ (공학페스티벌 홈페이지 접속) > 창의적종합설계경진대회 카테고리 클릭 > 온라인 청중단 신청하기 클릭
5. 활동내용: 2023. 11. 22.(수) 10:00~12:10까지 진행되는 공학 페스티벌 공식 유튜브 채널의 작품 발표를 관람한 후
유튜브 댓글 및 최우수 작품 선정 등의 활동 참여
6. 혜택
- 1등 맞춤상: 애플워치(2명)
- 댓글상: 상품권(20명)
- 참여상: 상품권(100명)
*2023 공학페스티벌 행사개요
- 기간: 2023. 11. 20.(월)~22.(수)
- 장소: 상암 아프리카 콜로세움
- 주관/주최: 산업통상자원부. 한국산업기술진흥원, 공학교육혁신협의회
- 프로그램일정",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=6&BID=1761&cmd=view,../../data/images/1687.png;../../data/images/1688.jpg
공지사항,[모집] 2023 공학페스티벌 우주최강 참관객 모집,'2023-10-20,"1. 모집기간: ~2023. 10. 26(목)까지
2. 모집인원
-온라인
-오프라인: 10명(현장 녹화참관자)
3. 신청방법: 2023 공학페스티벌 홈페이지(
h
ttp://www.e2festa.kr/ko/universe) 접속 > 우주최강 참관 신청
4. 참관방법
- 온라인
- 오프라인(참관일시: 2023. 10. 31.(화), 시간 및 장소 추후 안내 예정)
5. 혜택
- 오프라인 녹화참관자 10만원(10인)
- 온라인 참관자 중 댓글상 5,000원(100명)
관심있는 학생들의 많은 참여 바랍니다.",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=6&BID=1760&cmd=view,../../data/images/1683.jpg;../../data/images/1684.png;../../data/images/1685.png
공지사항,[모집] 제26회 누들브리지 경연대회 신청 안내,'2023-10-16,"요소설계 경진대회 개최
제26회 누들브리지 경연대회
★첨부파일 (세부내용 - 규정포함) 필독해주세요!!
1. 사
업 명
:
""제26회 누들브리지 경연대회""
2. 주관·주최 :
공학교육혁신센터, LINC 3.0 사업단
3. 대     상 :
공과대학, IT대학 학부 재학생
4. 일     정
NO
일정
기간
장소
1
신청기간
10. 23.(월) ~ 10. 31.(화)
13:00
-
2
재료지원
11. 1.(수
) ~ 11. 8.(
수
) 17:00
60주년기념관 702호 공학교육혁신센터
3
작품접수
11.24.(
금
) 8:00 ~ 10:00
공대 1호관 001호 사이버랩
4
대회일자
11.24.(
금
) 10:00 ~
공대 1호관 001호 사이버랩
5. 참여방법
1) 첨부파일 : 서식 - 참여신청서, 개인정보수집동의서 작성 - 공학교육혁신센터 제출
2) 제출서류 : [서식1] 참여신청서, [서식2] 개인정보수집동의서
3) 제출방법 : 온라인제출 (E-mail : hjyun8106
@kangwon.ac.kr
)
※ 학과에서 단체로 신청할 경우 학과사무실에서 조별 명단 취합 후 센터로 송부
6. 재료지원
1)
스파게티면, 순간접착제 , 사포, 줄톱, 갭게이지(스틸) 조별 지원 예정
※ 진행상황에 따라 지원 수량은 변경될 수 있습니다
※ 작품제작을 위해 제공되는 줄톱, 갭게이지는 작품 접수 시 반납
2) 규정에 맞게 제작하기 쉽도록 ""갭 게이지"" 제공 (첨부파일 - 세부내용 - 제작 규정 참조)
3) 줄톱, 갭 게이지는 작품 접수와 동시에 반납할 것 (분실 주의, 미반납 시 팀에서 보상)
7. 시상내역
(참여팀 수, 결과평가 등에 따라 달라질 수 있음)
NO
시상
팀수
부상
1
대상
1
상장 및 상금 50만원
2
금상
1
상장 및 상금 30만원
3
은상
2
상장 및 상금 20만원
4
동상
3
상장 및 상금 10만원
8. 주의사항
- 팀 이름은 꼭 있어야 하며 신청서 접수 후에는 변경이 불가합니다 (임의 변경 금지)
- 수상하게 될 경우 상장에 팀 이름이 기입 될 예정입니다. 신중하게 정하시길 바랍니다.
- 모든 신청서와 동의서는 볼펜으로 작성해주시기 바랍니다 (연필 사용 시 지워질 수 있습니다)
- 센터에서 기본으로 제공되는 재료에서 추가로 더 필요할 경우 팀이 개별적으로 구매하되,
제공되는 재료와 반드시 같은 상품만을 구입하여 사용 및 제작하여야 합니다
(첨부파일 - 세부내용 - 규정 참조)
☎ 공학교육혁신센터 033-250-7169 / hjyun8106@kangwon.ac.kr",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=6&BID=1759&cmd=view,
공지사항,[홍보] 2023 반도체산업 온라인 채용박람회 참가인재 모집,'2023-10-10,"한국반도체산업협회에서는 중소, 중견기업의 원활한
신입 인력 수급과 채용 증진을 위해 매년 정기 채용 박람회를 개최합니다.
반도체 산업의 미래 경쟁력 강화를 위해 우수 인력이 산업에 유입될 수 있도록
학생의 많은 관심과 참여 부탁드립니다.
* 행사명:
2023 반도체 산업 온라인 채용 박람회
* 행사 일정:
10월 24일 (화)~10월 25일(수), 10:00~17:00
* 면접 방법:
온라인 Zoom을 통한 비대면 면접 진행
(일부 기업은 대면 면접으로 진행될 수 있음)
* 신청 일정:
~ 10월 13일(금)까지 홈페이지(
http://hrd.ksia.or.kr
)를 통한 접수
* 참여 대상:
반도체 관련 학과 전문대학, 대학(원) 졸업(예정)자 등 취업 준비생
* 학생 신청문의 :
한국반도체산업협회(KSIA)
산업인력실 정은비(Jeong, Eun Bi) PM
T. 02-570-5233
E.
jeb119@ksia.or.kr
경기도민 학생이 면접을 진행할 경우
경기도 청년면접수당을 지급
받을 수 있도록 면접확인서 발급이 가능합니다.
(※면접수당 신청일 기준 주민등록상 경기도 내 거주자)",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=6&BID=1757&cmd=view,../../data/images/1673.png;../../data/images/1674.png;../../data/images/1675.png
공지사항,"2023 문화예술·공과대학, IT대학 연합 PT 경진대회 본선 진출자 안내",'2023-10-06,"2023 문화예술·공과대학, IT대학 연합 PT 경진대회 본선 진출자 선정 결과를 공지합니다.",https://icee.kangwon.ac.kr/index.php?mt=page&mp=5_1&mm=oxbbs&oxid=1&cpage=6&BID=1756&cmd=view,../../data/images/base64_6_0.png
