제목1,제목2,label,seq_score,jac_score,cos_score
2021학년도 하계 계절수업 한양대학교 교류수학 안내,2021학년도 하계 계절수업 부산대학교 교류수학 안내-5.4.화까지,different,0.857142857,0.5,0.468243347
2016학년도 롯데장학재단 장학생 선발 안내,2016학년도 아산사회복지재단 장학생 선발 안내,different,0.8,0.666666667,0.492927898
2021학년도 제1차 교내 졸업자격인증 모의토익 시험일자 안내,2021학년도 제1차 교내 졸업자격인증 모의토익 시험 안내,duplication,0.96969697,0.75,0.791287203
2017 K-Engineering 디자인 캠프 참가학생 모집 안내,2017  K-Engineering 디자인 캠프 참가자 모집 안내(기간연장),different,0.904109589,0.555555556,0.739670905
[한국문화관광연구원] 제4회 관광통계 인포그래픽 공모전,한국문화관광연구원 제4회 관광통계 인포그래픽 공모전 개최 안내,duplication,0.903225806,0.714285714,0.974953662
학사과정 교육과정 편성 ․ 운영 진단 연구 공모 재공고,학사과정 교육과정 편성·운영 진단 연구 공모 재공고,duplication,0.981818182,0.666666667,0.789227055
2022학년도 교원양성과정 제1차 응급처치 및 심폐소생술 실습 교육 안내,[교직] 2022학년도 교원양성과정 응급처치 및 심폐소생술 실습 교육 계획 공고,duplication,0.829268293,0.583333333,0.793132164
2016학년도 1학기 사회봉사과목 수강 및 봉사활동 신청 안내(2/16~3/9),2016-1 사회봉사과목 수강 및 봉사활동 신청 안내,duplication,0.835820896,0.5,0.566693898
2022학년도 1학기 외국인 유학생 튜터링 프로그램 홍보,(1/16마감) 2022학년도 1학기 외국인 유학생 튜터링 프로그램 안내,duplication,0.852941176,0.666666667,0.749103723
2022학년도 2학기 일반대학원 수업평가 안내,2022학년도 2학기 기말 수업평가 시행 안내,different,0.8,0.571428571,0.593655297
[대학원] 2025학년도 1학기 일반대학원 석사학위청구논문 대체인정 실적 심사 안내,[공지][대학원] 2025학년도 1학기 일반대학원 학위청구논문심사 안내,duplication,0.835443038,0.363636364,0.201429262
2021학년도 하계 계절수업 국가유공자（본인） 수업료 면제 안내,2021학년도 하계 계절수업 국가유공자 본인의 계절수업료 면제 안내,duplication,0.942857143,0.5,0.409715661
2021학년도 2학기 서울시립대학교 대학원 학점교류 운영 안내,2021학년도 2학기 충남대학교 대학원 학점교류 안내,different,0.857142857,0.625,0.6117291
2015학년도 2학기 경상대학교 수학 안내,2015학년도 2학기 제주대학교 수학 안내,different,0.913043478,0.666666667,0.529746745
[LINC3.0 사업단]강원대-한림대 LINC 3.0 사업단 모의경영  RPG 경진대회 운영 안내,강원대-한림대 LINC 3.0 사업단 모의경영 RPG 경진대회 운영 안내(5/8(월) 13시까지),duplication,0.8,0.538461538,0.566031267
(국가거점국립대학교) 2023학년도 1학기 전남대학교 교류 수학 안내,(국가거점국립대학교) 2023학년도 1학기 경상국립대학교 교류 수학 안내,different,0.918918919,0.75,0.690639757
(10/27마감) 대학일자리센터 특화프로그램 <공모전 대비 온라인 특강> 안내,대학일자리센터 특화프로그램 _공모전 대비 온라인 특강_ 안내,duplication,0.873239437,0.5,0.519727789
2023학년도 하계 계절수업 서울대학교 교류수학 안내,2023학년도 여름 계절수업 한양대학교 교류수학 안내,different,0.862068966,0.5,0.488367618
2022 KNU 하계 부트캠프 『아이컨택; ICT』신청 안내,2022년도 KNU 하계 부트캠프 『아이컨택; ICT』 신청 안내,duplication,0.952380952,0.5,0.60260811
2023-2 유한재단 신규장학생 선발 안내,2023학년도 2학기 유한재단 신규장학생 선발 안내(2차),different,0.846153846,0.375,0.602184884
강원도 대학생 혁신창업 아이디어 캠프(코너스톤 연계) 추가 모집 안내,(11/15마감) 강원도 대학생 혁신창업 아이디어 캠프(코너스톤 연계) 추가 모집 안내,duplication,0.911392405,0.9,0.878387413
"2024년 [학내 마음건강 지원 1,2학년 온라인 심리검사] 운영 안내","2024학년도 「학내 마음건강 지원 1,2학년 온라인 심리검사」 운영 안내",duplication,0.972972973,0.8,0.925798897
2016학년도 1학기 경상대학교 수학 안내,2016학년도 1학기 서울대학교 수학 안내,different,0.913043478,0.666666667,0.552324658
KNU 미래도서관 실감영상 콘텐츠 공모전 안내,[국립대학육성사업] KNU미래도서관 실감영상 콘텐츠 공모전 안내,duplication,0.827586207,0.5,0.62814035
2021-2 등록금 재학생 2차 추가납부 및 수업연한초과자 납부기간,2021-2 등록금 재학생 2차 추가납부 및 수업연한초과자 납부기간 알림,duplication,0.96,0.888888889,0.971934558
2024 KNU 코딩 캠프 『뒤풀이; The Free』 모집 안내,2024 KNU 코딩 캠프; 뒤풀이(The Free) 재학생 참가자 모집,duplication,0.828571429,0.5,0.593032609
[학부]2017학년도 1학기 특별장학금 장학생 선발계획 안내,2017학년도 1학기 특별장학금 장학생 선발계획 안내(4/27까지),duplication,0.892307692,0.5,0.451476985
2019학년도 1학기 충남대학교 학점교류 안내,2019학년도 1학기 서울시립대 학점교류 안내,different,0.84,0.666666667,0.491858929
2024학년도 2학기 재학생 등록금 수납계획 알림,[등록]2024학년도 2학기 재학생 등록금 수납 계획 안내,duplication,0.877192982,0.3,0.306674385
2021 하계 계절수업 경상국립대학교 교류수학 안내,2021학년도 하계 계절수업 서울대학교 교류수학 안내,different,0.842105263,0.5,0.498303782
2019학년도 2학기 학부생 재입학 모집 계획 알림,2019학년도 2학기 학부생 재입학 모집,duplication,0.88,0.714285714,0.880092123
[장학]2021학년도 1학기 춘천지역로타리장학재단 장학생 선발 안내,2021학년도 1학기 춘천지역로타리장학재단 장학생 선발 안내,duplication,0.970588235,0.714285714,0.726440427
2021학년도 2학기 경상국립대학교 교류 수학 안내,2021학년도 2학기 서울시립대학교 교류 수학 안내-7.19.월까지,different,0.806451613,0.5,0.405145656
2015학년도 1학기 한국교원대학교 수학 안내,2015학년도 1학기 강릉원주대학교 수학 안내,different,0.88,0.666666667,0.54957827
2020학년도 하계 계절수업 숙명여자대학교 교류수학 안내,2020학년도 하계 계절수업 인하대학교 학점 교류 수학 안내-5.15,different,0.805970149,0.272727273,0.301213853
"2023년도 ""농식품산업 관련 아이디어 경진대회"" 참가자 모집",2023년도 「농식품산업 관련 아이디어 경진대회」안내,duplication,0.847457627,0.5,0.681297269
"2021-1학기 국가장학금Ⅱ유형 긴급 지원(실직, 폐업) 장학생 선발","2021-1학기 국가장학금Ⅱ유형 긴급 지원(실직,폐업) 장학생 선발 기간 연장 안내",different,0.868421053,0.454545455,0.556062786
2024-1학기 재학생 등록금 4차 추가 납부기간 안내,2024학년도 1학기 재학생 등록금 4차（마지막） 추가 납부기간 안내,duplication,0.892307692,0.5,0.510536825
(8/11마감) [교육혁신본부] 2024학년도 하계 도파밍 리더십 캠프 모집 안내,2024학년도 하계 도파밍 리더십 캠프 모집 안내,duplication,0.805970149,0.777777778,0.766292182
2023학년도 2학기 국가장학금 1차 신청 안내,2023년 2학기 국가장학금 1차 신청 안내,duplication,0.96,0.714285714,0.810177499
2014학년도 대학 신입생 우선면제 대상자 장학 안내,2014학년도 대학 신입생 우선면제 대상자 장학안내,duplication,0.98245614,0.625,0.750852325
2025년 도서관 곰두리 캐릭터 공모전 안내,(6/13마감) 2025년 도서관 곰두리 캐릭터 공모전 안내,duplication,0.888888889,0.857142857,0.814618568
(5/29마감) 2022학년도 1학기 「KNU 직무박람회」 개최 안내,2022학년도 1학기 KNU 직무박람회 개최 안내,duplication,0.9,0.857142857,0.743048008
(4/1마감) 2022. 1차 정보화 활용능력 향상 프로그램 운영 안내,2022. 1차 정보화 활용능력 향상 프로그램 운영 안내,duplication,0.923076923,0.888888889,0.845322722
「2025 캠퍼스 특허 유니버시아드(CPU) 대회 설명회 개최」 안내 및 홍보,‘2025 캠퍼스 특허 유니버시아드(CPU)’ 대회 설명회 개최 안내,duplication,0.931506849,0.8,0.97509211
2021학년도 2학기 강릉원주대학교 일반대학원 학점교류 안내,2021학년도 2학기 경북대학교 대학원 학점교류 운영 안내,different,0.830769231,0.444444444,0.439450318
2020-1학기 학습역량회복지원 「러닝코어」프로그램 사업 공고,[대학혁신지원사업]2020-1학기 학습역량회복지원 「러닝코어」프로그램 사업 공고,duplication,0.885714286,0.666666667,0.746382991
2009학년도 1학기 전남대학 수학안내,2009학년도 1학기 경상대학 수학안내,different,0.904761905,0.6,0.493207602
2022학년도 2학기 동국대학교 교류 수학 안내,2022학년도 2학기 전북대학교 교류 수학 안내,different,0.923076923,0.714285714,0.599604545
2022학년도 2학기 외국인 유학생 튜터링 프로그램 홍보 협조 요청,2022학년도 2학기 외국인 유학생 튜터링 프로그램 홍보 협조 요청-7.21.목까지,duplication,0.925,0.8,0.749240957
[공통] 2022-2학기 재학생 등록금 1차 추가납부기간 알림,2022학년도 2학기 재학생 등록금 1차 추가 납부기간 안내,duplication,0.8125,0.25,0.360279849
강원대학교 '2024 강원그룹 가상회사 인턴십 프로그램' 참가자 모집 안내,강원대학교 '2024 강원그룹 가상회사 인턴십 프로그램' 안내,duplication,0.901408451,0.777777778,0.951321028
2018학년도 1학기 인하대학교 교류 수학 안내,2018학년도 1학기 숙명여자대학교 교류 수학 안내,different,0.888888889,0.714285714,0.618569982
개인형 이동장치(PM) 교내 운행 전면 금지 알림,개인형 이동장치(PM) 교내 운행 전면 금지 안내,duplication,0.92,0.75,0.97427856
2021년도 1학기 일반대학원 학위논문제출자격시험 시행 추진계획,2021학년도 1학기 일반대학원 학위논문제출자격시험 시행 추진계획 알림,duplication,0.945945946,0.625,0.817208642
2016학년도 신입생 인적성검사 실시,2016학년도 신입생 인적성검사 실시 안내,duplication,0.930232558,0.8,0.990423119
2011학년도 1학기 특별장학금 선발계획 알림(4.12-4.20),2011학년도 1학기 특별장학금 선발계획 알림,duplication,0.892857143,0.666666667,0.672721736
2023학년도 교육지원 모니터 요원 모집 안내-9.15.금.18시까지,2023학년도 교육지원 모니터 요원 모집 안내,duplication,0.847457627,0.714285714,0.78880363
(5/24마감) 2025년 고교-대학 학습 동행 프로그램 대학생 멘토 모집,2025년 고교-대학 학습 동행 프로그램 대학생 멘토 모집,duplication,0.911764706,0.888888889,0.875468151
[안내]2015학년도 경력마일리지 제도 운영 재안내,2015학년도 경력마일리지 제도 운영 재안내,duplication,0.96,0.666666667,0.774446308
2022학년도 겨울 계절수업 국가유공자 본인의 계절수업료 면제 안내,2022학년도 겨울 계절수업 국가유공자（본인） 수업료 면제 안내,duplication,0.942857143,0.5,0.441632326
2014학년도 국제어학원 봄학기 영어특강,2014학년도 국제어학원 봄학기 영어특강 안내,duplication,0.936170213,0.8,0.992587288
2016 강원혁신도시 이전공공기관 합동채용설명회 안내,2016년 상반기 강원혁신도시 이전공공기관 합동채용설명회 개최 계획 안내,duplication,0.84057971,0.444444444,0.790832981
2019학년도 제5차 교내 졸업자격인증 모의토익 시험일장 안내(12.2.~12.6.),2019학년도 제5차 교내 졸업자격인증 모의토익 시험일자 안내,duplication,0.891891892,0.555555556,0.600902569
2015학년도 중국 남경농업대학 섬머스쿨 파견 신청[~6/9],2015학년도 중국 남경농업대학 섬머스쿨 파견자 선발,duplication,0.881355932,0.5,0.701153662
2021학년도 2학기 국가근로장학금 학생신청 기간 안내,2021학년도 2학기 국가근로장학금 학생신청기간 안내,duplication,0.983050847,0.571428571,0.520734981
2021 후기 조기졸업 신청 안내,[학부] 2021학년도 후기 조기졸업 신청 안내,duplication,0.857142857,0.571428571,0.725429841
두을장학재단 제 22기 두을장학생 선발 안내,[장학] 두을장학재단 제22기 두을장학생 선발 안내,duplication,0.92,0.5,0.590864819
"2024 KNU 리빙랩 메이커톤 개최 및 모집 안내-7.31.수까지,행사8.13-8.14",2024 KNU 리빙랩 메이커톤 개최 및 모집 안내,duplication,0.8,0.777777778,0.794172521
2024년도 2학기 국가근로장학금 학생신청기간 안내,2024년 2학기 국가근로장학생 장애학생도우미 신청 안내,different,0.813559322,0.222222222,0.078179499
2018학년도 2학기 경영대학 전산실 학과장특별장학생 모집 공고,2018학년도 2학기 회계학전공 사무실 학과장특별장학생 모집 공고,different,0.845070423,0.555555556,0.53402457
2021학년도 2학기 국가근로장학금 희망근로기관 신청 안내,2021-2 국가근로장학금 희망근로기관 신청 안내,duplication,0.896551724,0.571428571,0.74123769
2022학년도 여름 계절수업 경상국립대학교 교류수학 안내,2022학년도 여름 계절수업 경상국립대학교 학점교류 수학 안내,duplication,0.953846154,0.625,0.764541763
2018학년도 1학기 한양대학교 교류 수학,2018학년도 1학기 전남대학교 교류 수학 안내,different,0.857142857,0.571428571,0.611874295
2025년 상반기 한미 대학생 연수(WEST) 프로그램 참가자 모집 안내,2025년 상반기 한·미 대학생 연수 (WEST) 프로그램 참가자 모집 안내,duplication,0.987012987,0.727272727,0.670509575
2017-2학기 장학사정관제 장학금 장학생 선발계획 알림,2017-2학기 장학사정관제 장학금 장학생 선발계획 알림(~12.14),duplication,0.9375,0.714285714,0.743457593
2018 년 학생대상-인권·성평등(폭력 예방) 온라인 교육 안내,2018년 인권/성평등 (폭력 예방) 온라인 교육 안내,duplication,0.896551724,0.4,0.362047297
2020학년도 1학기 수업 기말평가 시행 안내,2020-1학기 수업 기말평가 시행 안내,duplication,0.913043478,0.571428571,0.750222251
2021- 1 고졸 후학습자 장학금(희망사다리Ⅱ유형) 신규장학생 학생신청 안내,[학부]2021학년도 1학기 고졸 후학습자 장학금(희망사다리Ⅱ유형) 신규장학생 신청 기간 안내,duplication,0.863636364,0.416666667,0.694931052
2021년 서울장학재단 희망플러스장학금 장학생 선발 안내-3.19,2021년 서울장학재단 희망플러스 장학금 장학생 선발 안내,duplication,0.939393939,0.444444444,0.421201752
"2024학년도 2학기 기말 수업평가 시행 안내(~1.7,17:00)",2024학년도 2학기 기말 수업평가 시행 안내  24.12.31~25.1.7,duplication,0.805970149,0.625,0.531358416
"""제3기 큐레이터 준비 과정"" 프로그램","""제3기 큐레이터 준비 과정"" 프로그램 홍보 협조 요청",duplication,0.808510638,0.625,0.893485153
선후배 진로지도 멘토링 프로그램 「키멘; KNU-멘토링」 신청 안내,[국립대학육성사업] 선후배 진로지도 멘토링 프로그램 「키멘; KNU-멘토링」 신청 안내,duplication,0.88,0.888888889,0.957174736
2024학년도 1학기 국가근로장학금 희망근로기관 신청 안내,2024학년도 1학기 국가장학금 2차 신청 안내,different,0.827586207,0.5,0.366090556
2023 GUCCI LUXURY JOB CONCERT 견학 참가자 모집 안내,2023 GUCCI LUXURY JOB CONCERT 견학 참가자 모집 안내 및 공결 협조  요청,duplication,0.884210526,0.692307692,0.900653915
신입생(저학년) 진로개발 프로그램 실시 안내,2014년도 신입생(저학년) 진로 개발 프로그램 실시 안내,duplication,0.846153846,0.5,0.557124149
[국립대학육성사업] 2024학년도 학생상담센터 심리건강 지킴이 「두리다리」 홍보 협조 요청.hwx,[국립대학육성사업] 2024학년도 학생상담센터 심리건강 지킴이 「두리다리」 홍보\,duplication,0.898876404,0.777777778,0.842856526
강원혈액원 헌혈우수장학금 선발공고,2013년 강원혈액원 헌혈우수장학금 선발공고,duplication,0.857142857,0.75,0.934017669
[학부]「2021년도 KNU 행복문고」프로그램 운영 안내,[춘천] 「2021년도 KNU 행복문고」 프로그램  신청 안내,duplication,0.821428571,0.2,0.131720383
2023학년도 2학기 수강신청 변경기간 및 방법  알림,[학부] 2023학년도 2학기 수강신청 과목 변경기간 및 방법 안내,duplication,0.84375,0.6,0.781356303
2022학년도 2학기 한양대학교 교류 수학 안내,2022학년도 2학기 충남대학교 교류 수학 안내,different,0.923076923,0.714285714,0.611047898
[학부]강원대학교 공자아카데미 브이로그 공모전 개최 안내,강원대학교 공자아카데미 브이로그 공모전 안내,duplication,0.905660377,0.571428571,0.694582836
2021학년도 하계 계절수업 충남대학교 교류수학 안내,2021학년도 하계 계절수업 숙명여자대학교 교류수학 안내-5.4,different,0.870967742,0.5,0.492718747
[대학혁신지원사업] 2021학년도 2학기 「학습역량강화지원 프로그램 활동 수기」 공모전 시행 공고,(1/16마감) [대학혁신지원사업] 2021학년도 2학기 「학습역량강화지원 프로그램 활동 수기」 공모전 시행 공고,duplication,0.943396226,0.909090909,0.882118609
2020학년도 1학기 본솔김종한장학재단 신규 장학생 선발 안내,2020학년도 1학기 본솔김종한장학재단 신규 장학생 선발 안내(~3.13.),duplication,0.957746479,0.75,0.801894464
(국가거점국립대학교) 2024학년도 2학기 충남대학교 교류 수학 안내,(국가거점국립대학교) 2024학년도 2학기 전북대학교 교류 수학 안내,different,0.944444444,0.75,0.718616784
2022학년도 전기(2023.2월) 본 졸업사정 실시 및 결과 확인 안내,2022학년도 전기('23.2월) 졸업사정 결과 확인 안내(온라인),duplication,0.823529412,0.363636364,0.44397666
2025 KNU 대학일자리플러스센터 「이달의 공고반」 취업캠프 모집 안내,(2/9마감) 2025 KNU 대학일자리플러스센터 「이달의 공고반」 취업캠프 모집 안내,duplication,0.938271605,0.888888889,0.878985896
[학부]「2021년도 KNU 행복문고」프로그램 운영 안내,[춘천]「2021년도 KNU 행복문고」프로그램 운영 안내,duplication,0.925925926,0.666666667,0.598058496
2019학년도 하계 계절수업 한양대학교 학점 교류 수학 안내,2019학년도 하계 계절수업 전남대학교 학점 교류 수학 안내,different,0.939393939,0.777777778,0.766309531
[안내]2018학년도 대학생 청소년교육지원사업 나눔지기 모집 안내,2018학년도 대학생 청소년교육지원사업 나눔지기 모집 안내,duplication,0.96969697,0.714285714,0.746731135
2023-1학기 재학생 등록금 2차 추가납부기간 알림,[안내]2023-1학기 재학생 등록금 2차 추가납부기간 알림,duplication,0.965517241,0.714285714,0.647252543
（국가거점국립대학교） 2023. 2학기 충북대학교 교류 수학 안내,（국가거점국립대학교） 2023. 2학기 전북대학교 교류 수학 안내,different,0.96969697,0.75,0.735012565
[웨비나 안내] Wiley 편집장과 함께하는 피어리뷰 프로세스와 출판윤리,Wiley 편집장과 함께하는 피어리뷰 프로세스와 출판윤리 강연 안내,duplication,0.826666667,0.777777778,0.896228299
2022학년도 1학기 한림대학교 일반대학원 교류 수학 안내,2022학년도 1학기 서울시립대학교 교류 수학 안내,different,0.8,0.625,0.497966571
[외교부] 2019 믹타 영 리더스 캠프 참가자 모집 협조,[외교부] 2019 믹타 영 리더스 캠프 참가자 모집,duplication,0.947368421,0.888888889,0.964624215
(국가거점국립대학교) 2023학년도 2학기 교류 수학 안내,(국가거점국립대학교) 2023학년도 2학기 제주대학교 교류 수학 안내-7.19.수.18시까지,different,0.8,0.625,0.634929922
2018학년도 헌혈우수자 장학생 선발 안내,[장학]2018년 헌혈우수자 장학생 선발 안내,duplication,0.913043478,0.666666667,0.633983354
[학부]2021년 대통령과학장학금 학생 신청 안내,2021년 대통령과학장학금 학생 신청 안내 [1학년만 해당],duplication,0.821428571,0.5,0.445622418
2024학년도 2학기 기말 수업평가 기간 안내(정정),2024학년도 2학기 기말 수업평가 안내,different,0.897959184,0.571428571,0.700397329
2017년 2학기 푸른등대 기부장학사업 신규장학생 선발 안내 [8/4(금)까지],2017년 2학기 푸른등대 기부장학사업 신규장학생 선발 안내,duplication,0.916666667,0.875,0.783380072
2016학년도 1학기 국가장학금 1차 신청기간 안내,2016학년도 1학기 국가장학금 1차 신청기간 안내(11.24~12.16.18시),duplication,0.835820896,0.714285714,0.727507147
2025학년도 여름 계절수업 가톨릭관동대학교 교류수학 안내,2025학년도 여름 계절수업 국립강릉원주대학교 교류수학 안내,different,0.830769231,0.714285714,0.534917921
2021-2학기 재학생 등록금 1차 추가납부기간 알림,2021학년도 2학기 재학생 등록금 1차 추가납부기간 안내,duplication,0.866666667,0.444444444,0.741475739
2013학년도 제주대학교 동계 계절학기 수학 안내,2013학년도 전남대학교 동계 계절학기 수학 안내,different,0.925925926,0.714285714,0.686314319
